Company Name or Owners's Name,City,Company type,building,address,full_address
P. Bernstein,Boston,Real Estate:,Old South bldg.,,"Old South bldg., Boston, Massachusetts, USA"
Wm. Berwin,Boston,Real Estate:,Old South bldg.,,"Old South bldg., Boston, Massachusetts, USA"
H. J. Besarick,Boston,Real Estate:,,414 Old South bldg.,"414 Old South bldg., Boston, Massachusetts, USA"
Bethel Beach Co.,Boston,Real Estate:,,Germantown,"Germantown, Boston, Massachusetts, USA"
"Prescott Bigelow, Jr.",Boston,Real Estate:,,70 Kilby,"70 Kilby, Boston, Massachusetts, USA"
Joseph J. Billington,Boston,Real Estate:,,56 Warren,"56 Warren, Boston, Massachusetts, USA"
8. Biloski,Boston,Real Estate:,Old South bldg.,,"Old South bldg., Boston, Massachusetts, USA"
Geo. P. Bingham Co.,Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
Amos Binney,Boston,Real Estate:,Exchange bldg.,,"Exchange bldg., Boston, Massachusetts, USA"
Mrs. Е. Н. Bishop,Boston,Real Estate:,,276 Tremont,"276 Tremont, Boston, Massachusetts, USA"
Edward F. Blake & Co.,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
Robert Parkman Bake,Boston,Real Estate:,,50 Congress,"50 Congress, Boston, Massachusetts, USA"
Blake & Loud,Boston,Real Estate:,,75 State,"75 State, Boston, Massachusetts, USA"
Wm. B. Blakemore,Boston,Real Estate:,,141 Milk,"141 Milk, Boston, Massachusetts, USA"
L. W. Blanchard,Boston,Real Estate:,,218A Highland ave.,"218A Highland ave., Boston, Massachusetts, USA"
Frank H. Blaney,Boston,Real Estate:,,East Boston,"East Boston, Boston, Massachusetts, USA"
Robert M. Bleakle,Boston,Real Estate:,,15 State,"15 State, Boston, Massachusetts, USA"
Reginald Boardman,Boston,Real Estate:,Ames bldg.,,"Ames bldg., Boston, Massachusetts, USA"
Richard De B. Boardman,Boston,Real Estate:,Ames bldg.,,"Ames bldg., Boston, Massachusetts, USA"
T. Dennie Boardman,Boston,Real Estate:,Ames bldg.,,"Ames bldg., Boston, Massachusetts, USA"
Bonelli-Adams Co.,Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
"L. H. Bonelli, Jr.",Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
A. E. Bonney,Boston,Real Estate:,,101 Tremont,"101 Tremont, Boston, Massachusetts, USA"
Simon Bornbum,Boston,Real Estate:,,43 Tremont,"43 Tremont, Boston, Massachusetts, USA"
Boston Lowell Rlty Co.,Boston,Real Estate:,Old So. bld.,,"Old So. bld., Boston, Massachusetts, USA"
Boston Real Estate Co.,Boston,Real Estate:,,6 Beacon,"6 Beacon, Boston, Massachusetts, USA"
Henry E. Bothfeld,Boston,Real Estate:,,101 Tremont,"101 Tremont, Boston, Massachusetts, USA"
Henry J. Bowen,Boston,Real Estate:,,469 W. Broadway,"469 W. Broadway, Boston, Massachusetts, USA"
Edward J. Boyle & Co.,Boston,Real Estate:,,4 Province Ct.,"4 Province Ct., Boston, Massachusetts, USA"
H. N. Brackett,Boston,Real Estate:,,399 Warren,"399 Warren, Boston, Massachusetts, USA"
John S. Bradbury,Boston,Real Estate:,Old South bldg.,,"Old South bldg., Boston, Massachusetts, USA"
Bradley & Tyson,Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
Breck's Real Estate Agcy.,Boston,Real Estate:,,51. N. Market,"51. N. Market, Boston, Massachusetts, USA"
James H. Breman,Boston,Real Estate:,,31 State,"31 State, Boston, Massachusetts, USA"
J. F. F. Brewster,Boston,Real Estate:,,28 State,"28 State, Boston, Massachusetts, USA"
Edmund Bridge,Boston,Real Estate:,,209 Washington,"209 Washington, Boston, Massachusetts, USA"
J. F. Briggs,Boston,Real Estate:,,114 State,"114 State, Boston, Massachusetts, USA"
R. L. & G. L. Briggs,Boston,Real Estate:,,15 School,"15 School, Boston, Massachusetts, USA"
John W. Brittan,Boston,Real Estate:,,101 Tremont,"101 Tremont, Boston, Massachusetts, USA"
Samuel Broadbent,Boston,Real Estate:,,53 State,"53 State, Boston, Massachusetts, USA"
John M. Brooks,Boston,Real Estate:,,58 State,"58 State, Boston, Massachusetts, USA"
Walter D. Brooke,Boston,Real Estate:,,50 Congress,"50 Congress, Boston, Massachusetts, USA"
Campbell & Cabot,Boston,Real Estate:,,83 Water,"83 Water, Boston, Massachusetts, USA"
Carberry & Thomas,Boston,Real Estate:,,43 Tremont,"43 Tremont, Boston, Massachusetts, USA"
Anthony D. Carbone,Boston,Real Estate:,,S. Boston,"S. Boston, Boston, Massachusetts, USA"
C. E. Carlson,Boston,Real Estate:,Tremont Temple,701,
Frank A. Carnes & Co.,Boston,Real Estate:,,654 Old So. blu,"654 Old So. blu, Boston, Massachusetts, USA"
Geo. W. Carnes,Boston,Real Estate:,,28 School,"28 School, Boston, Massachusetts, USA"
James Carr,Boston,Real Estate:,,Jamaica,"Jamaica, Boston, Massachusetts, USA"
J. H. Carr,Boston,Real Estate:,,840 Dorchester ave.,"840 Dorchester ave., Boston, Massachusetts, USA"
Carter & Peabody,Boston,Real Estate:,Tremont bldg.,749,
R. L. Casey,Boston,Real Estate:,,27 School,"27 School, Boston, Massachusetts, USA"
Edward F. Cassell,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
H. E Chamberlain,Boston,Real Estate:,,85 Congress,"85 Congress, Boston, Massachusetts, USA"
"Walter Channing, Jr.",Boston,Real Estate:,,60 Congress,"60 Congress, Boston, Massachusetts, USA"
"A, B, H. Chapin",Boston,Real Estate:,,31 State,"31 State, Boston, Massachusetts, USA"
Geo. H. Chapin,Boston,Real Estate:,,294 Washington,"294 Washington, Boston, Massachusetts, USA"
Dan'l J. Chapman,Boston,Real Estate:,,615 Dorchester ave,"615 Dorchester ave, Boston, Massachusetts, USA"
George Cherry,Boston,Real Estate:,,Mt. Hope,"Mt. Hope, Boston, Massachusetts, USA"
City & Suburban Rl Est Co.,Boston,Real Estate:,Trmi,101,
Chas. W. Claggett,Boston,Real Estate:,,7 Water,"7 Water, Boston, Massachusetts, USA"
Francis Clare,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
Herbert Clark,Boston,Real Estate:,State Mut. bldg,730,
Robert J. Clark,Boston,Real Estate:,,101 Tremont,"101 Tremont, Boston, Massachusetts, USA"
Seth C. Clark,Boston,Real Estate:,,50 State,"50 State, Boston, Massachusetts, USA"
Henry Martyn Clarke,Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
John Chandler Cobb,Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
B. F. Cobleigh & Co.,Boston,Real Estate:,,Roslindalı,"Roslindalı, Boston, Massachusetts, USA"
Richard E. Cochran,Boston,Real Estate:,,Forest Hills,"Forest Hills, Boston, Massachusetts, USA"
Wm. David Cochrane,Boston,Real Estate:,,53 State,"53 State, Boston, Massachusetts, USA"
Codman & Street,Boston,Real Estate:,,15 State,"15 State, Boston, Massachusetts, USA"
Charles S. Coffin,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
Coffin & Taber,Boston,Real Estate:,,24 Milk,"24 Milk, Boston, Massachusetts, USA"
Wm. H. Colcord,Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
Geo. A. Cole,Boston,Real Estate:,,50 Congress,"50 Congress, Boston, Massachusetts, USA"
Coleman & Gilbert,Boston,Real Estate:,,819 Huntn. ave.,"819 Huntn. ave., Boston, Massachusetts, USA"
Henry F. Coles,Boston,Real Estate:,,Devonshire,"Devonshire, Boston, Massachusetts, USA"
A. D. Collins,Boston,Real Estate:,,84 School,"84 School, Boston, Massachusetts, USA"
Colonial Real Estate Co.,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
Commonwealth Realty Co.,Boston,Real Estate:,,58 State,"58 State, Boston, Massachusetts, USA"
Charles M. Conane,Boston,Real Estate:,Old South bldg.,640,
Edward D. Conant,Boston,Real Estate:,,4 P. O. Square,"4 P. O. Square, Boston, Massachusetts, USA"
Thos. Condon,Boston,Real Estate:,,W. Roxbury,"W. Roxbury, Boston, Massachusetts, USA"
Joseph Congdon,Boston,Real Estate:,Old South bldg.,880,
Harrison W. Conner,Boston,Real Estate:,,294 Washington,"294 Washington, Boston, Massachusetts, USA"
H. H. J. Connington,Boston,Real Estate:,,40 State,"40 State, Boston, Massachusetts, USA"
B. J. Connolly,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
Charles E. Cotting,Boston,Real Estate:,Barstrs. Hall,809,
Estate of Frank B. Cotton,Boston,Real Estate:,,131 State,"131 State, Boston, Massachusetts, USA"
Frank W. Coughlin,Boston,Real Estate:,,294 Washington,"294 Washington, Boston, Massachusetts, USA"
Joseph Cowan,Boston,Real Estate:,,200 Washington,"200 Washington, Boston, Massachusetts, USA"
S. M. Cox,Boston,Real Estate:,Old South bldg.,425,
Thomas H. Cox,Boston,Real Estate:,,714 Shawmut ave.,"714 Shawmut ave., Boston, Massachusetts, USA"
Crawford Real Estate Co.,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
Credle's Real Est. Combination,Boston,Real Estate:,,692 Shawmut ave.,"692 Shawmut ave., Boston, Massachusetts, USA"
David W. Creed,Boston,Real Estate:,,205 Dorchester,"205 Dorchester, Boston, Massachusetts, USA"
Daniel J. Cronin,Boston,Real Estate:,,15 State,"15 State, Boston, Massachusetts, USA"
J. A. Cronin & Co.,Boston,Real Estate:,,126 Masa. ave.,"126 Masa. ave., Boston, Massachusetts, USA"
Cronin & Schuyler,Boston,Real Estate:,,15 State,"15 State, Boston, Massachusetts, USA"
Horace S. Crowell,Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
James J. Crowley,Boston,Real Estate:,,28 State,"28 State, Boston, Massachusetts, USA"
Watson G. Cutter & Sons,Boston,Real Estate:,,15 State,"15 State, Boston, Massachusetts, USA"
Peter Dally,Boston,Real Estate:,,120 Boylston,"120 Boylston, Boston, Massachusetts, USA"
Daniel J. Daly,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
Franklin P. Daly,Boston,Real Estate:,,101 Tremont,"101 Tremont, Boston, Massachusetts, USA"
Levi A. Dame,Boston,Real Estate:,,7 Water,"7 Water, Boston, Massachusetts, USA"
Meyer Dana,Boston,Real Estate:,Kimball bldg.,431,
Samuel L. Dana,Boston,Real Estate:,,34 School,"34 School, Boston, Massachusetts, USA"
Jullus Dangel,Boston,Real Estate:,Old South bldg.,1024,
S. M. Danielson,Boston,Real Estate:,Old South bldg.,752,
Wm. A. Davidson,Boston,Real Estate:,St Marys bldg.,100,
George Davis,Boston,Real Estate:,,70 State,"70 State, Boston, Massachusetts, USA"
L. Shannon Davis,Boston,Real Estate:,Barstrs. Hall,512,
W. J. M. De Angelis,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
Geo. L. DeBlois,Boston,Real Estate:,,80 Kilby,"80 Kilby, Boston, Massachusetts, USA"
W. T. Delaney,Boston,Real Estate:,,514 Tremont,"514 Tremont, Boston, Massachusetts, USA"
Raymond P. Delano,Boston,Real Estate:,Upham's Cor.,,"Upham's Cor., Boston, Massachusetts, USA"
E. M. Dennen,Boston,Real Estate:,,88 Dartmouth,"88 Dartmouth, Boston, Massachusetts, USA"
Roberts B. Denny,Boston,Real Estate:,,143 Federal,"143 Federal, Boston, Massachusetts, USA"
Hector H. Desnoyers,Boston,Real Estate:,Tremont bld.,1160,
Clifford Devens,Boston,Real Estate:,,54 Devonshire,"54 Devonshire, Boston, Massachusetts, USA"
James V. Devine,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
Wallace D. Dexter,Boston,Real Estate:,,50 Congress,"50 Congress, Boston, Massachusetts, USA"
Robert L. Dickson,Boston,Real Estate:,Old South bldg.,826,
Geo. A. Dill,Boston,Real Estate:,Tremont bldg.,401,
Joseph D. Dillworth,Boston,Real Estate:,,16 State,"16 State, Boston, Massachusetts, USA"
Dodge Bros.,Boston,Real Estate:,,27 School,"27 School, Boston, Massachusetts, USA"
Edw. J. Doherty,Boston,Real Estate:,,Brighton,"Brighton, Boston, Massachusetts, USA"
Frank L. Doherty,Boston,Real Estate:,,684 Dudley,"684 Dudley, Boston, Massachusetts, USA"
Doherty Realty Co.,Boston,Real Estate:,,413A Geneva ave,"413A Geneva ave, Boston, Massachusetts, USA"
M. F. Dolan,Boston,Real Estate:,,Jamaica Plain,"Jamaica Plain, Boston, Massachusetts, USA"
Dole & Sherburne,Boston,Real Estate:,,180 Tremont,"180 Tremont, Boston, Massachusetts, USA"
Thomas Donahue,Boston,Real Estate:,,Nantasket Beach,"Nantasket Beach, Boston, Massachusetts, USA"
"Donaldson, Ingalls & Co.",Boston,Real Estate:,,294 Wash.,"294 Wash., Boston, Massachusetts, USA"
Eugene D. Donnell,Boston,Real Estate:,,W. Somerville,"W. Somerville, Boston, Massachusetts, USA"
John H. Donovan,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
Benj. H. Dorr,Boston,Real Estate:,,28 State,"28 State, Boston, Massachusetts, USA"
"Dorr, Tileston, Warren",Boston,Real Estate:,,Roxbury,"Roxbury, Boston, Massachusetts, USA"
Chas C. Doten,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
Charles F. Dow,Boston,Real Estate:,,53 State,"53 State, Boston, Massachusetts, USA"
C. M. Downes,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
M. Doyle,Boston,Real Estate:,,63 Roxbury,"63 Roxbury, Boston, Massachusetts, USA"
Stephen A. Drew,Boston,Real Estate:,Old South bldg.,1128,
Geo. H. S. Driver,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
Wilton A. Dunham,Boston,Real Estate:,,7 Water,"7 Water, Boston, Massachusetts, USA"
John W. Dunlop,Boston,Real Estate:,,81 Milk,"81 Milk, Boston, Massachusetts, USA"
Geo. E. Gurgin,Boston,Real Estate:,Ames bldg.,31,
Wm. Dwyer,Boston,Real Estate:,,16 State,"16 State, Boston, Massachusetts, USA"
East Boston Co.,Boston,Real Estate:,,16 State,"16 State, Boston, Massachusetts, USA"
Eastern Land Co.,Boston,Real Estate:,,101 Tremont,"101 Tremont, Boston, Massachusetts, USA"
Wiley S. Edmands,Boston,Real Estate:,,178 Devonshire,"178 Devonshire, Boston, Massachusetts, USA"
H. T. Eisenberg,Boston,Real Estate:,,85 Stillman,"85 Stillman, Boston, Massachusetts, USA"
Alfred Ela,Boston,Real Estate:,Old South bldg.,905,
Edward H. Eldredge & Co.,Boston,Real Estate:,,16 State,"16 State, Boston, Massachusetts, USA"
Geo. B. Elliot,Boston,Real Estate:,,209 Washington,"209 Washington, Boston, Massachusetts, USA"
Benjamin P. Ellis,Boston,Real Estate:,,16 State,"16 State, Boston, Massachusetts, USA"
John L. Ellis,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
Joseph H. Emerson,Boston,Real Estate:,,2414 Washington,"2414 Washington, Boston, Massachusetts, USA"
H. Nelson Emmons,Boston,Real Estate:,John Hancock bldg.,627,
Samuel Epstein,Boston,Real Estate:,,362 Blue Hill ave.,"362 Blue Hill ave., Boston, Massachusetts, USA"
Arthur W. Evans,Boston,Real Estate:,,15 State,"15 State, Boston, Massachusetts, USA"
Brice S. Evans & Son,Boston,Real Estate:,Equitable bld.,34,
Percival A. Evana,Boston,Real Estate:,,19 Congress,"19 Congress, Boston, Massachusetts, USA"
P. J. Evans,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
F. E. Everett,Boston,Real Estate:,Ames bldg.,100,
Wm. H. Fanning,Boston,Real Estate:,,606 Dudley,"606 Dudley, Boston, Massachusetts, USA"
"Owen F. Farley, Jr.",Boston,Real Estate:,,27 State,"27 State, Boston, Massachusetts, USA"
Wm. M. Farrington,Boston,Real Estate:,,70 Kilby,"70 Kilby, Boston, Massachusetts, USA"
Geo. B. Faunce & Son,Boston,Real Estate:,,142 Dudley,"142 Dudley, Boston, Massachusetts, USA"
Federal Real Est. & Inv. Co.,Boston,Real Estate:,Old South bldg.,1082,
Fernald & Squire,Boston,Real Estate:,Tremont bldg.,528,
"Finlay, Crowe & Hastings",Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
Wm. A. E. Finlay,Boston,Real Estate:,,89 State,"89 State, Boston, Massachusetts, USA"
M. E. Finnegan,Boston,Real Estate:,,331 Broadway,"331 Broadway, Boston, Massachusetts, USA"
Andrew P. Fisher & Co.,Boston,Real Estate:,,E. Boston,"E. Boston, Boston, Massachusetts, USA"
Robert S. Fitch,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
Fitzgerald's Real Est. Agcy.,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
C. P. & H. D. Flagg,Boston,Real Estate:,,165 Blackstone,"165 Blackstone, Boston, Massachusetts, USA"
Fleming Bros.,Boston,Real Estate:,,,
W. H. Gilbert,Boston,Real Estate:,Old South bldg,,"Old South bldg, Boston, Massachusetts, USA"
Giles Bosworth,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
Louis A. Ginsburg,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
Globe Real Estate Co.,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
F. Goddard & Co.,Boston,Real Estate:,,1774 Washington,"1774 Washington, Boston, Massachusetts, USA"
J. Goldinger,Boston,Real Estate:,,10 Central Square,"10 Central Square, Boston, Massachusetts, USA"
Jacob H. Goodman,Boston,Real Estate:,,28 School,"28 School, Boston, Massachusetts, USA"
William Goos & Co.,Boston,Real Estate:,,209 Washington,"209 Washington, Boston, Massachusetts, USA"
A. L. Gordon,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
Gordon & Seltzer,Boston,Real Estate:,,338 Blue Hill av. Rox,"338 Blue Hill av. Rox, Boston, Massachusetts, USA"
P. F. Gormley,Boston,Real Estate:,,15 School,"15 School, Boston, Massachusetts, USA"
"Grace-Dellano Co., Inc.",Boston,Real Estate:,Trent. bld.,216,
Peter Graffam,Boston,Real Estate:,,6 Beacon,"6 Beacon, Boston, Massachusetts, USA"
Grandberg Real Est. Agcy.,Boston,Real Estate:,,394 Blue Hill ave.,"394 Blue Hill ave., Boston, Massachusetts, USA"
Chas. Brandson,Boston,Real Estate:,,48 Tremont,"48 Tremont, Boston, Massachusetts, USA"
Geo. R. Grantham,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
Greenburg & Standard,Boston,Real Estate:,,43 Tremont,"43 Tremont, Boston, Massachusetts, USA"
John H. Griggs & Co.,Boston,Real Estate:,,"162 Dudley, Rox.","162 Dudley, Rox., Boston, Massachusetts, USA"
Gordon Hale,Boston,Real Estate:,,16 State,"16 State, Boston, Massachusetts, USA"
A. F. Hall,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
Arthur J. Hall & Bro.,Boston,Real Estate:,,202 Harrison av,"202 Harrison av, Boston, Massachusetts, USA"
Charles Athon Hall,Boston,Real Estate:,Tremont bldg,645,
F. Hall,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
J. H. Hallett,Boston,Real Estate:,,423 Hanover,"423 Hanover, Boston, Massachusetts, USA"
Paul M. Hamlen,Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
Russell E. Hamlin,Boston,Real Estate:,,E. Boston,"E. Boston, Boston, Massachusetts, USA"
Harry B. Hammond,Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
J. W. Hanson,Boston,Real Estate:,,84 W. Rutland Sq.,"84 W. Rutland Sq., Boston, Massachusetts, USA"
Harper & Co.,Boston,Real Estate:,,230 Washington,"230 Washington, Boston, Massachusetts, USA"
Edward T. Harrington Co.,Boston,Real Estate:,,293 Wash.,"293 Wash., Boston, Massachusetts, USA"
Henry & Harris,Boston,Real Estate:,,67 Milk,"67 Milk, Boston, Massachusetts, USA"
Francis Hastings,Boston,Real Estate:,,89 State,"89 State, Boston, Massachusetts, USA"
"F. Hastings, Jr.",Boston,Real Estate:,,80 Kirby,"80 Kirby, Boston, Massachusetts, USA"
L. J. Hastings,Boston,Real Estate:,,76 Tremont,"76 Tremont, Boston, Massachusetts, USA"
Chas. A. Hayden,Boston,Real Estate:,,68 Pemberton Sq,"68 Pemberton Sq, Boston, Massachusetts, USA"
John E. V. Hayden,Boston,Real Estate:,,114 State,"114 State, Boston, Massachusetts, USA"
Hayes & Welch,Boston,Real Estate:,,112 Water,"112 Water, Boston, Massachusetts, USA"
A. B. Hayward,Boston,Real Estate:,John Hancock bldg,511,
Isaac Hellar,Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
